GCM,run,scenario,0.8,1.0,1.2,1.5,2.0,2.5,3.0,4.0
CanESM5,r23i1p1f1,ssp585,2011-12-16 12:00:00,2016-02-15 00:00:00,2020-02-15 00:00:00,2025-04-16 00:00:00,2033-10-16 12:00:00,2041-06-16 00:00:00,2048-03-16 12:00:00,2060-06-16 00:00:00
CanESM5,r23i1p1f1,ssp370,2012-06-16 00:00:00,2016-10-16 12:00:00,2020-07-16 12:00:00,2026-10-16 12:00:00,2036-07-16 12:00:00,2045-09-16 00:00:00,2053-08-16 12:00:00,2068-05-16 12:00:00
CanESM5,r23i1p1f1,ssp245,2012-04-16 00:00:00,2016-08-16 12:00:00,2021-02-15 00:00:00,2028-04-16 00:00:00,2040-07-16 12:00:00,2051-08-16 12:00:00,2065-11-16 00:00:00,
CanESM5,r2i1p1f1,ssp585,2013-05-16 12:00:00,2016-08-16 12:00:00,2019-07-16 12:00:00,2023-12-16 12:00:00,2032-02-15 00:00:00,2040-03-16 12:00:00,2047-05-16 12:00:00,2060-08-16 12:00:00
CanESM5,r2i1p1f1,ssp370,2013-12-16 12:00:00,2017-06-16 00:00:00,2020-09-16 00:00:00,2025-06-16 00:00:00,2034-06-16 00:00:00,2043-03-16 12:00:00,2051-08-16 12:00:00,2068-08-16 12:00:00
CanESM5,r2i1p1f1,ssp245,2013-01-16 12:00:00,2017-01-16 12:00:00,2020-02-15 00:00:00,2025-12-16 12:00:00,2035-10-16 12:00:00,2049-02-15 00:00:00,2062-09-16 00:00:00,
CanESM5,r22i1p2f1,ssp585,2013-01-16 12:00:00,2017-05-16 12:00:00,2020-11-16 00:00:00,2025-11-16 00:00:00,2034-07-16 12:00:00,2042-03-16 12:00:00,2050-01-16 12:00:00,2062-03-16 12:00:00
CanESM5,r22i1p2f1,ssp370,2013-04-16 00:00:00,2017-09-16 00:00:00,2021-05-16 12:00:00,2027-01-16 12:00:00,2037-02-15 00:00:00,2046-01-16 12:00:00,2054-02-15 00:00:00,2069-01-16 12:00:00
CanESM5,r22i1p2f1,ssp245,2012-10-16 12:00:00,2018-04-16 00:00:00,2021-09-16 00:00:00,2027-11-16 00:00:00,2040-02-15 00:00:00,2051-06-16 00:00:00,2066-01-16 12:00:00,
CanESM5,r18i1p1f1,ssp585,2013-11-16 00:00:00,2018-06-16 00:00:00,2022-07-16 12:00:00,2028-01-16 12:00:00,2036-03-16 12:00:00,2043-12-16 12:00:00,2051-05-16 12:00:00,2063-06-16 00:00:00
CanESM5,r18i1p1f1,ssp370,2014-02-15 00:00:00,2018-11-16 00:00:00,2023-06-16 00:00:00,2029-04-16 00:00:00,2039-05-16 12:00:00,2048-01-16 12:00:00,2056-07-16 12:00:00,2071-11-16 00:00:00
CanESM5,r18i1p1f1,ssp245,2014-04-16 00:00:00,2018-10-16 12:00:00,2023-06-16 00:00:00,2029-11-16 00:00:00,2041-07-16 12:00:00,2053-02-15 00:00:00,2066-10-16 12:00:00,
CanESM5,r8i1p1f1,ssp585,2014-09-16 00:00:00,2019-01-16 12:00:00,2022-07-16 12:00:00,2027-02-15 00:00:00,2035-10-16 12:00:00,2044-04-16 00:00:00,2051-08-16 12:00:00,2063-01-16 12:00:00
CanESM5,r8i1p1f1,ssp370,2013-04-16 00:00:00,2016-12-16 12:00:00,2020-12-16 12:00:00,2027-05-16 12:00:00,2037-02-15 00:00:00,2045-10-16 12:00:00,2053-10-16 12:00:00,2069-11-16 00:00:00
CanESM5,r8i1p1f1,ssp245,2014-01-16 12:00:00,2018-12-16 12:00:00,2023-05-16 12:00:00,2030-08-16 12:00:00,2042-02-15 00:00:00,2052-10-16 12:00:00,2068-03-16 12:00:00,
CanESM5,r3i1p2f1,ssp585,2011-04-16 00:00:00,2015-01-16 12:00:00,2018-06-16 00:00:00,2024-08-16 12:00:00,2033-05-16 12:00:00,2041-07-16 12:00:00,2047-12-16 12:00:00,2059-10-16 12:00:00
CanESM5,r3i1p2f1,ssp370,2011-02-15 00:00:00,2015-11-16 00:00:00,2019-05-16 12:00:00,2025-05-16 12:00:00,2034-06-16 00:00:00,2043-02-15 00:00:00,2051-07-16 12:00:00,2066-12-16 12:00:00
CanESM5,r3i1p2f1,ssp245,2011-01-16 12:00:00,2015-02-15 00:00:00,2018-10-16 12:00:00,2025-05-16 12:00:00,2039-06-16 00:00:00,2050-12-16 12:00:00,2061-01-16 12:00:00,
CanESM5,r1i1p1f1,ssp585,2015-12-16 12:00:00,2019-02-15 00:00:00,2022-12-16 12:00:00,2028-07-16 12:00:00,2036-04-16 00:00:00,2043-08-16 12:00:00,2049-12-16 12:00:00,2062-05-16 12:00:00
CanESM5,r1i1p1f1,ssp370,2016-04-16 00:00:00,2019-04-16 00:00:00,2023-03-16 12:00:00,2028-06-16 00:00:00,2038-08-16 12:00:00,2046-11-16 00:00:00,2054-02-15 00:00:00,2069-10-16 12:00:00
CanESM5,r1i1p1f1,ssp245,2016-04-16 00:00:00,2019-03-16 12:00:00,2024-01-16 12:00:00,2029-12-16 12:00:00,2042-09-16 00:00:00,2055-05-16 12:00:00,2068-05-16 12:00:00,
CanESM5,r4i1p2f1,ssp585,2014-10-16 12:00:00,2017-11-16 00:00:00,2021-12-16 12:00:00,2026-11-16 00:00:00,2034-06-16 00:00:00,2041-09-16 00:00:00,2049-03-16 12:00:00,2061-06-16 00:00:00
CanESM5,r4i1p2f1,ssp370,2014-12-16 12:00:00,2018-12-16 12:00:00,2023-05-16 12:00:00,2029-01-16 12:00:00,2037-12-16 12:00:00,2045-06-16 00:00:00,2052-12-16 12:00:00,2067-09-16 00:00:00
CanESM5,r4i1p2f1,ssp245,2015-02-15 00:00:00,2019-01-16 12:00:00,2023-12-16 12:00:00,2030-04-16 00:00:00,2040-04-16 00:00:00,2051-09-16 00:00:00,2065-12-16 12:00:00,
CanESM5,r23i1p2f1,ssp585,2015-03-16 12:00:00,2019-03-16 12:00:00,2022-09-16 00:00:00,2027-06-16 00:00:00,2035-08-16 12:00:00,2042-07-16 12:00:00,2049-01-16 12:00:00,2060-12-16 12:00:00
CanESM5,r23i1p2f1,ssp370,2016-10-16 12:00:00,2020-07-16 12:00:00,2024-02-15 00:00:00,2029-02-15 00:00:00,2037-06-16 00:00:00,2045-05-16 12:00:00,2053-07-16 12:00:00,2068-11-16 00:00:00
CanESM5,r23i1p2f1,ssp245,2015-03-16 12:00:00,2019-09-16 00:00:00,2023-10-16 12:00:00,2030-07-16 12:00:00,2042-01-16 12:00:00,2052-10-16 12:00:00,2063-12-16 12:00:00,
CanESM5,r24i1p1f1,ssp585,2014-12-16 12:00:00,2019-02-15 00:00:00,2022-10-16 12:00:00,2028-03-16 12:00:00,2036-10-16 12:00:00,2044-03-16 12:00:00,2051-01-16 12:00:00,2063-01-16 12:00:00
CanESM5,r24i1p1f1,ssp370,2015-08-16 12:00:00,2019-11-16 00:00:00,2023-05-16 12:00:00,2028-11-16 00:00:00,2038-02-15 00:00:00,2046-03-16 12:00:00,2053-11-16 00:00:00,2068-08-16 12:00:00
CanESM5,r24i1p1f1,ssp245,2015-06-16 00:00:00,2019-07-16 12:00:00,2023-04-16 00:00:00,2029-12-16 12:00:00,2042-11-16 00:00:00,2054-06-16 00:00:00,2067-12-16 12:00:00,
CanESM5,r11i1p2f1,ssp585,2011-05-16 12:00:00,2016-01-16 12:00:00,2020-01-16 12:00:00,2026-05-16 12:00:00,2035-01-16 12:00:00,2042-08-16 12:00:00,2049-11-16 00:00:00,2062-09-16 00:00:00
CanESM5,r11i1p2f1,ssp370,2011-11-16 00:00:00,2016-11-16 00:00:00,2020-12-16 12:00:00,2027-05-16 12:00:00,2037-10-16 12:00:00,2046-10-16 12:00:00,2055-03-16 12:00:00,2070-05-16 12:00:00
CanESM5,r11i1p2f1,ssp245,2011-10-16 12:00:00,2017-07-16 12:00:00,2022-02-15 00:00:00,2030-03-16 12:00:00,2043-01-16 12:00:00,2055-08-16 12:00:00,2069-05-16 12:00:00,
CanESM5,r5i1p2f1,ssp585,2011-06-16 00:00:00,2015-01-16 12:00:00,2019-03-16 12:00:00,2025-11-16 00:00:00,2034-06-16 00:00:00,2042-02-15 00:00:00,2049-01-16 12:00:00,2061-01-16 12:00:00
CanESM5,r5i1p2f1,ssp370,2011-11-16 00:00:00,2015-12-16 12:00:00,2021-02-15 00:00:00,2028-01-16 12:00:00,2037-10-16 12:00:00,2045-07-16 12:00:00,2052-08-16 12:00:00,2067-06-16 00:00:00
CanESM5,r5i1p2f1,ssp245,2010-11-16 00:00:00,2014-06-16 00:00:00,2018-11-16 00:00:00,2028-01-16 12:00:00,2040-12-16 12:00:00,2053-02-15 00:00:00,2069-01-16 12:00:00,
CanESM5,r14i1p2f1,ssp585,2013-03-16 12:00:00,2016-08-16 12:00:00,2019-09-16 00:00:00,2024-08-16 12:00:00,2031-11-16 00:00:00,2039-09-16 00:00:00,2046-06-16 00:00:00,2060-06-16 00:00:00
CanESM5,r14i1p2f1,ssp370,2012-07-16 12:00:00,2016-04-16 00:00:00,2019-10-16 12:00:00,2025-04-16 00:00:00,2034-07-16 12:00:00,2042-10-16 12:00:00,2050-09-16 00:00:00,2065-08-16 12:00:00
CanESM5,r14i1p2f1,ssp245,2012-05-16 12:00:00,2016-01-16 12:00:00,2019-04-16 00:00:00,2024-08-16 12:00:00,2036-03-16 12:00:00,2048-04-16 00:00:00,2060-02-15 00:00:00,
CanESM5,r13i1p1f1,ssp585,2012-03-16 12:00:00,2016-03-16 12:00:00,2020-06-16 00:00:00,2026-05-16 12:00:00,2035-08-16 12:00:00,2042-04-16 00:00:00,2049-03-16 12:00:00,2062-02-15 00:00:00
CanESM5,r13i1p1f1,ssp370,2012-12-16 12:00:00,2017-01-16 12:00:00,2020-06-16 00:00:00,2026-02-15 00:00:00,2034-09-16 00:00:00,2043-12-16 12:00:00,2053-02-15 00:00:00,2069-01-16 12:00:00
CanESM5,r13i1p1f1,ssp245,2012-08-16 12:00:00,2016-07-16 12:00:00,2020-05-16 12:00:00,2027-02-15 00:00:00,2040-07-16 12:00:00,2051-03-16 12:00:00,2064-02-15 00:00:00,
CanESM5,r19i1p1f1,ssp585,2010-05-16 12:00:00,2014-09-16 00:00:00,2018-05-16 12:00:00,2023-12-16 12:00:00,2033-06-16 00:00:00,2041-01-16 12:00:00,2048-02-15 00:00:00,2061-01-16 12:00:00
CanESM5,r19i1p1f1,ssp370,2011-02-15 00:00:00,2015-05-16 12:00:00,2018-10-16 12:00:00,2024-10-16 12:00:00,2034-08-16 12:00:00,2043-07-16 12:00:00,2052-08-16 12:00:00,2068-11-16 00:00:00
CanESM5,r19i1p1f1,ssp245,2010-08-16 12:00:00,2015-08-16 12:00:00,2019-03-16 12:00:00,2026-05-16 12:00:00,2038-03-16 12:00:00,2050-03-16 12:00:00,2063-11-16 00:00:00,
CanESM5,r15i1p1f1,ssp585,2011-07-16 12:00:00,2015-05-16 12:00:00,2019-01-16 12:00:00,2024-06-16 00:00:00,2033-03-16 12:00:00,2041-04-16 00:00:00,2048-06-16 00:00:00,2060-10-16 12:00:00
CanESM5,r15i1p1f1,ssp370,2010-10-16 12:00:00,2014-09-16 00:00:00,2018-09-16 00:00:00,2024-03-16 12:00:00,2034-11-16 00:00:00,2043-04-16 00:00:00,2051-11-16 00:00:00,2068-04-16 00:00:00
CanESM5,r15i1p1f1,ssp245,2011-05-16 12:00:00,2015-12-16 12:00:00,2020-02-15 00:00:00,2025-09-16 00:00:00,2037-03-16 12:00:00,2049-01-16 12:00:00,2063-06-16 00:00:00,
CanESM5,r20i1p2f1,ssp585,2014-09-16 00:00:00,2018-10-16 12:00:00,2022-03-16 12:00:00,2026-08-16 12:00:00,2033-09-16 00:00:00,2040-01-16 12:00:00,2047-04-16 00:00:00,2061-05-16 12:00:00
CanESM5,r20i1p2f1,ssp370,2015-03-16 12:00:00,2019-02-15 00:00:00,2022-11-16 00:00:00,2027-12-16 12:00:00,2035-11-16 00:00:00,2043-07-16 12:00:00,2052-03-16 12:00:00,2067-08-16 12:00:00
CanESM5,r20i1p2f1,ssp245,2013-08-16 12:00:00,2017-05-16 12:00:00,2021-02-15 00:00:00,2026-07-16 12:00:00,2038-05-16 12:00:00,2049-07-16 12:00:00,2060-06-16 00:00:00,
CanESM5,r15i1p2f1,ssp585,2015-04-16 00:00:00,2018-10-16 12:00:00,2021-12-16 12:00:00,2026-09-16 00:00:00,2034-08-16 12:00:00,2042-09-16 00:00:00,2049-07-16 12:00:00,2061-03-16 12:00:00
CanESM5,r15i1p2f1,ssp370,2014-02-15 00:00:00,2018-02-15 00:00:00,2021-10-16 12:00:00,2027-02-15 00:00:00,2037-07-16 12:00:00,2046-03-16 12:00:00,2053-09-16 00:00:00,2068-02-15 00:00:00
CanESM5,r15i1p2f1,ssp245,2015-09-16 00:00:00,2019-03-16 12:00:00,2022-10-16 12:00:00,2028-07-16 12:00:00,2040-06-16 00:00:00,2052-02-15 00:00:00,2063-06-16 00:00:00,
CanESM5,r21i1p2f1,ssp585,2014-01-16 12:00:00,2017-06-16 00:00:00,2021-01-16 12:00:00,2026-03-16 12:00:00,2033-12-16 12:00:00,2041-05-16 12:00:00,2047-08-16 12:00:00,2059-09-16 00:00:00
CanESM5,r21i1p2f1,ssp370,2013-10-16 12:00:00,2016-12-16 12:00:00,2020-01-16 12:00:00,2025-08-16 12:00:00,2035-12-16 12:00:00,2045-02-15 00:00:00,2052-08-16 12:00:00,2068-01-16 12:00:00
CanESM5,r21i1p2f1,ssp245,2014-02-15 00:00:00,2018-01-16 12:00:00,2022-04-16 00:00:00,2028-04-16 00:00:00,2039-07-16 12:00:00,2051-01-16 12:00:00,2064-03-16 12:00:00,
CanESM5,r10i1p1f1,ssp585,2010-01-16 12:00:00,2014-04-16 00:00:00,2017-12-16 12:00:00,2024-10-16 12:00:00,2034-04-16 00:00:00,2041-11-16 00:00:00,2048-01-16 12:00:00,2060-03-16 12:00:00
CanESM5,r10i1p1f1,ssp370,2010-01-16 12:00:00,2014-02-15 00:00:00,2017-12-16 12:00:00,2024-07-16 12:00:00,2034-07-16 12:00:00,2043-10-16 12:00:00,2052-01-16 12:00:00,2067-12-16 12:00:00
CanESM5,r10i1p1f1,ssp245,2009-12-16 12:00:00,2014-04-16 00:00:00,2018-07-16 12:00:00,2025-12-16 12:00:00,2038-03-16 12:00:00,2050-07-16 12:00:00,2064-07-16 12:00:00,
CanESM5,r16i1p1f1,ssp585,2013-08-16 12:00:00,2017-01-16 12:00:00,2020-07-16 12:00:00,2025-09-16 00:00:00,2033-11-16 00:00:00,2041-06-16 00:00:00,2048-09-16 00:00:00,2061-03-16 12:00:00
CanESM5,r16i1p1f1,ssp370,2013-10-16 12:00:00,2017-01-16 12:00:00,2020-03-16 12:00:00,2026-01-16 12:00:00,2036-01-16 12:00:00,2045-01-16 12:00:00,2052-12-16 12:00:00,2067-02-15 00:00:00
CanESM5,r16i1p1f1,ssp245,2013-08-16 12:00:00,2016-10-16 12:00:00,2020-06-16 00:00:00,2026-01-16 12:00:00,2037-09-16 00:00:00,2049-02-15 00:00:00,2062-04-16 00:00:00,
CanESM5,r14i1p1f1,ssp585,2011-03-16 12:00:00,2015-11-16 00:00:00,2019-10-16 12:00:00,2025-04-16 00:00:00,2034-02-15 00:00:00,2042-07-16 12:00:00,2050-08-16 12:00:00,2063-03-16 12:00:00
CanESM5,r14i1p1f1,ssp370,2010-10-16 12:00:00,2015-12-16 12:00:00,2020-07-16 12:00:00,2027-05-16 12:00:00,2036-12-16 12:00:00,2043-12-16 12:00:00,2052-01-16 12:00:00,2068-03-16 12:00:00
CanESM5,r14i1p1f1,ssp245,2012-03-16 12:00:00,2018-01-16 12:00:00,2022-08-16 12:00:00,2029-04-16 00:00:00,2039-07-16 12:00:00,2050-04-16 00:00:00,2065-03-16 12:00:00,
CanESM5,r1i1p2f1,ssp585,2014-02-15 00:00:00,2017-03-16 12:00:00,2020-09-16 00:00:00,2025-11-16 00:00:00,2034-03-16 12:00:00,2042-03-16 12:00:00,2049-02-15 00:00:00,2061-05-16 12:00:00
CanESM5,r1i1p2f1,ssp370,2013-09-16 00:00:00,2017-03-16 12:00:00,2020-07-16 12:00:00,2025-03-16 12:00:00,2035-02-15 00:00:00,2044-06-16 00:00:00,2052-02-15 00:00:00,2067-04-16 00:00:00
CanESM5,r1i1p2f1,ssp245,2014-09-16 00:00:00,2018-01-16 12:00:00,2021-05-16 12:00:00,2027-10-16 12:00:00,2040-07-16 12:00:00,2050-12-16 12:00:00,2069-06-16 00:00:00,
CanESM5,r8i1p2f1,ssp585,2011-12-16 12:00:00,2015-09-16 00:00:00,2018-11-16 00:00:00,2024-01-16 12:00:00,2032-07-16 12:00:00,2041-01-16 12:00:00,2047-11-16 00:00:00,2060-01-16 12:00:00
CanESM5,r8i1p2f1,ssp370,2012-05-16 12:00:00,2016-05-16 12:00:00,2020-07-16 12:00:00,2026-05-16 12:00:00,2035-07-16 12:00:00,2043-04-16 00:00:00,2051-07-16 12:00:00,2067-01-16 12:00:00
CanESM5,r8i1p2f1,ssp245,2011-11-16 00:00:00,2015-03-16 12:00:00,2018-11-16 00:00:00,2024-10-16 12:00:00,2036-12-16 12:00:00,2050-01-16 12:00:00,2062-08-16 12:00:00,
CanESM5-CanOE,r3i1p2f1,ssp585,2011-04-16 00:00:00,2015-01-16 12:00:00,2018-06-16 00:00:00,2024-08-16 12:00:00,2033-05-16 12:00:00,2041-07-16 12:00:00,2047-12-16 12:00:00,2059-10-16 12:00:00
CanESM5-CanOE,r3i1p2f1,ssp370,2011-02-15 00:00:00,2015-11-16 00:00:00,2019-05-16 12:00:00,2025-05-16 12:00:00,2034-06-16 00:00:00,2043-02-15 00:00:00,2051-07-16 12:00:00,2066-12-16 12:00:00
CanESM5-CanOE,r3i1p2f1,ssp245,2011-01-16 12:00:00,2015-02-15 00:00:00,2018-10-16 12:00:00,2025-05-16 12:00:00,2039-06-16 00:00:00,2050-12-16 12:00:00,2061-01-16 12:00:00,
CanESM5-CanOE,r2i1p2f1,ssp585,2014-11-16 00:00:00,2018-04-16 00:00:00,2021-06-16 00:00:00,2026-11-16 00:00:00,2034-07-16 12:00:00,2042-08-16 12:00:00,2049-02-15 00:00:00,2061-03-16 12:00:00
CanESM5-CanOE,r2i1p2f1,ssp370,2015-02-15 00:00:00,2018-10-16 12:00:00,2022-08-16 12:00:00,2027-11-16 00:00:00,2036-10-16 12:00:00,2044-01-16 12:00:00,2051-09-16 00:00:00,2066-06-16 00:00:00
CanESM5-CanOE,r2i1p2f1,ssp245,2014-06-16 00:00:00,2018-01-16 12:00:00,2021-10-16 12:00:00,2027-02-15 00:00:00,2037-12-16 12:00:00,2049-02-15 00:00:00,2063-01-16 12:00:00,
CanESM5-CanOE,r1i1p2f1,ssp585,2014-02-15 00:00:00,2017-03-16 12:00:00,2020-09-16 00:00:00,2025-11-16 00:00:00,2034-03-16 12:00:00,2042-03-16 12:00:00,2049-02-15 00:00:00,2061-05-16 12:00:00
CanESM5-CanOE,r1i1p2f1,ssp370,2013-09-16 00:00:00,2017-03-16 12:00:00,2020-07-16 12:00:00,2025-03-16 12:00:00,2035-02-15 00:00:00,2044-06-16 00:00:00,2052-02-15 00:00:00,2067-04-16 00:00:00
CanESM5-CanOE,r1i1p2f1,ssp245,2014-09-16 00:00:00,2018-01-16 12:00:00,2021-05-16 12:00:00,2027-10-16 12:00:00,2040-07-16 12:00:00,2050-12-16 12:00:00,2069-06-16 00:00:00,
E3SM-1-1,r1i1p1f1,ssp585,2014-11-16 00:00:00,2019-01-16 12:00:00,2022-07-16 12:00:00,2026-08-16 12:00:00,2034-02-15 00:00:00,2040-02-15 00:00:00,2046-09-16 00:00:00,2058-04-16 00:00:00
E3SM-1-1,r1i1p1f1,ssp245,,,,,,,,
EC-Earth3,r9i1p1f1,ssp585,2028-01-16 12:00:00,2034-03-16 12:00:00,2038-07-16 12:00:00,2044-02-15 12:00:00,2053-01-16 12:00:00,2061-03-16 12:00:00,2067-09-16 00:00:00,2080-05-16 12:00:00
EC-Earth3,r9i1p1f1,ssp370,2036-05-16 12:00:00,2041-01-16 12:00:00,2045-12-16 12:00:00,2051-09-16 00:00:00,2061-04-16 00:00:00,2069-02-15 00:00:00,2076-05-16 12:00:00,
EC-Earth3,r9i1p1f1,ssp245,2027-07-16 12:00:00,2037-04-16 00:00:00,2046-04-16 00:00:00,2055-01-16 12:00:00,2068-06-16 00:00:00,2089-01-16 12:00:00,,
EC-Earth3,r17i1p1f1,ssp245,2018-03-16 12:00:00,2023-08-16 12:00:00,2028-12-16 12:00:00,2043-03-16 12:00:00,2060-11-16 00:00:00,2075-08-16 12:00:00,,
EC-Earth3,r6i1p1f1,ssp585,2013-02-15 00:00:00,2018-09-16 00:00:00,2024-08-16 12:00:00,2032-11-16 00:00:00,2046-03-16 12:00:00,2055-07-16 12:00:00,2063-09-16 00:00:00,2077-08-16 12:00:00
EC-Earth3,r6i1p1f1,ssp370,2013-06-16 00:00:00,2018-11-16 00:00:00,2024-05-16 12:00:00,2032-03-16 12:00:00,2046-10-16 12:00:00,2061-07-16 12:00:00,2071-12-16 12:00:00,2087-10-16 12:00:00
EC-Earth3,r6i1p1f1,ssp245,2013-06-16 00:00:00,2020-01-16 12:00:00,2027-07-16 12:00:00,2035-02-15 00:00:00,2050-12-16 12:00:00,2071-09-16 00:00:00,,
EC-Earth3,r12i1p1f1,ssp245,2025-01-16 12:00:00,2031-07-16 12:00:00,2037-04-16 00:00:00,2048-12-16 12:00:00,2064-10-16 12:00:00,2080-09-16 00:00:00,,
EC-Earth3,r3i1p1f1,ssp585,2026-07-16 12:00:00,2031-02-15 00:00:00,2035-03-16 12:00:00,2041-07-16 12:00:00,2050-04-16 00:00:00,2057-02-15 00:00:00,2063-07-16 12:00:00,2076-08-16 12:00:00
EC-Earth3,r4i1p1f1,ssp585,2030-07-16 12:00:00,2035-06-16 00:00:00,2039-09-16 00:00:00,2044-11-16 00:00:00,2052-11-16 00:00:00,2059-02-15 00:00:00,2065-05-16 12:00:00,2078-07-16 12:00:00
EC-Earth3,r4i1p1f1,ssp370,2028-02-15 12:00:00,2033-08-16 12:00:00,2039-03-16 12:00:00,2046-09-16 00:00:00,2057-05-16 12:00:00,2066-11-16 00:00:00,2074-12-16 12:00:00,
EC-Earth3,r4i1p1f1,ssp245,2032-08-16 12:00:00,2038-07-16 12:00:00,2044-01-16 12:00:00,2051-02-15 00:00:00,2066-01-16 12:00:00,2083-08-16 12:00:00,,
EC-Earth3,r7i1p1f1,ssp245,2016-07-16 12:00:00,2020-08-16 12:00:00,2025-06-16 00:00:00,2035-12-16 12:00:00,2053-10-16 12:00:00,2069-08-16 12:00:00,2090-11-16 00:00:00,
EC-Earth3,r20i1p1f1,ssp245,2027-02-15 00:00:00,2031-05-16 12:00:00,2037-02-15 00:00:00,2044-11-16 00:00:00,2058-04-16 00:00:00,2072-03-16 12:00:00,2090-08-16 12:00:00,
EC-Earth3,r25i1p1f1,ssp245,2028-05-16 12:00:00,2034-01-16 12:00:00,2039-03-16 12:00:00,2046-07-16 12:00:00,2062-03-16 12:00:00,2078-12-16 12:00:00,,
EC-Earth3,r21i1p1f1,ssp245,2035-09-16 00:00:00,2041-11-16 00:00:00,2046-11-16 00:00:00,2055-04-16 00:00:00,2068-01-16 12:00:00,2081-07-16 12:00:00,,
EC-Earth3,r22i1p1f1,ssp245,2031-10-16 12:00:00,2040-05-16 12:00:00,2047-04-16 00:00:00,2053-12-16 12:00:00,2067-09-16 00:00:00,2090-10-16 12:00:00,,
EC-Earth3,r23i1p1f1,ssp245,2016-06-16 00:00:00,2020-10-16 12:00:00,2025-09-16 00:00:00,2032-02-15 12:00:00,2044-06-16 00:00:00,2059-10-16 12:00:00,2078-01-16 12:00:00,
EC-Earth3,r2i1p1f1,ssp245,2024-01-16 12:00:00,2033-01-16 12:00:00,2039-07-16 12:00:00,2048-12-16 12:00:00,2062-02-15 00:00:00,2075-05-16 12:00:00,,
EC-Earth3,r18i1p1f1,ssp245,2022-04-16 00:00:00,2026-10-16 12:00:00,2031-07-16 12:00:00,2038-04-16 00:00:00,2052-09-16 00:00:00,2066-04-16 00:00:00,,
EC-Earth3,r1i1p1f1,ssp585,2014-09-16 00:00:00,2020-08-16 12:00:00,2026-07-16 12:00:00,2032-03-16 12:00:00,2041-10-16 12:00:00,2052-06-16 00:00:00,2062-09-16 00:00:00,2076-08-16 12:00:00
EC-Earth3,r1i1p1f1,ssp370,2012-11-16 00:00:00,2018-03-16 12:00:00,2024-12-16 12:00:00,2034-04-16 00:00:00,2047-08-16 12:00:00,2058-07-16 12:00:00,2068-04-16 00:00:00,2087-10-16 12:00:00
EC-Earth3,r1i1p1f1,ssp245,2012-11-16 00:00:00,2017-12-16 12:00:00,2025-02-15 00:00:00,2040-03-16 12:00:00,2053-01-16 12:00:00,2076-03-16 12:00:00,,
EC-Earth3,r24i1p1f1,ssp245,2030-04-16 00:00:00,2036-10-16 12:00:00,2042-03-16 12:00:00,2050-07-16 12:00:00,2063-03-16 12:00:00,2079-12-16 12:00:00,,
EC-Earth3,r13i1p1f1,ssp585,2019-12-16 12:00:00,2025-08-16 12:00:00,2029-08-16 12:00:00,2037-07-16 12:00:00,2050-05-16 12:00:00,2057-12-16 12:00:00,2064-06-16 00:00:00,2077-10-16 12:00:00
EC-Earth3,r13i1p1f1,ssp370,2023-05-16 12:00:00,2029-12-16 12:00:00,2035-03-16 12:00:00,2042-09-16 00:00:00,2053-11-16 00:00:00,2065-06-16 00:00:00,2075-07-16 12:00:00,
EC-Earth3,r13i1p1f1,ssp245,2022-11-16 00:00:00,2031-01-16 12:00:00,2038-07-16 12:00:00,2046-02-15 00:00:00,2061-01-16 12:00:00,2078-03-16 12:00:00,,
EC-Earth3,r19i1p1f1,ssp245,2018-04-16 00:00:00,2022-10-16 12:00:00,2026-01-16 12:00:00,2031-07-16 12:00:00,2040-06-16 00:00:00,2054-08-16 12:00:00,2077-11-16 00:00:00,
EC-Earth3,r15i1p1f1,ssp585,2027-01-16 12:00:00,2033-01-16 12:00:00,2038-08-16 12:00:00,2044-09-16 00:00:00,2052-12-16 12:00:00,2059-12-16 12:00:00,2066-12-16 12:00:00,2079-06-16 00:00:00
EC-Earth3,r15i1p1f1,ssp370,2029-04-16 00:00:00,2036-02-15 12:00:00,2041-03-16 12:00:00,2047-12-16 12:00:00,2058-07-16 12:00:00,2069-06-16 00:00:00,2077-03-16 12:00:00,
EC-Earth3,r15i1p1f1,ssp245,2034-01-16 12:00:00,2040-12-16 12:00:00,2045-11-16 00:00:00,2053-02-15 00:00:00,2065-03-16 12:00:00,2081-08-16 12:00:00,,
EC-Earth3,r11i1p1f1,ssp585,2014-01-16 12:00:00,2018-11-16 00:00:00,2024-06-16 00:00:00,2030-04-16 00:00:00,2039-04-16 00:00:00,2047-05-16 12:00:00,2057-02-15 00:00:00,2073-09-16 00:00:00
EC-Earth3,r11i1p1f1,ssp370,2013-10-16 12:00:00,2017-07-16 12:00:00,2021-07-16 12:00:00,2027-12-16 12:00:00,2038-10-16 12:00:00,2050-07-16 12:00:00,2065-04-16 00:00:00,2084-01-16 12:00:00
EC-Earth3,r11i1p1f1,ssp245,2014-09-16 00:00:00,2018-12-16 12:00:00,2024-06-16 00:00:00,2031-02-15 00:00:00,2042-12-16 12:00:00,2059-10-16 12:00:00,2082-05-16 12:00:00,
EC-Earth3,r10i1p1f1,ssp245,2019-07-16 12:00:00,2023-01-16 12:00:00,2026-08-16 12:00:00,2030-11-16 00:00:00,2037-12-16 12:00:00,2049-04-16 00:00:00,2074-06-16 00:00:00,
